number,value,params_alpha,params_beta,params_delta,params_gamma,state,user_attrs_avg_completed_makespan,user_attrs_failed_tasks,user_attrs_num_completed,user_attrs_num_failed,duration
49,10000000000,0.709067509107857,140.96953663821,9.4541664597301,1.78438777049439,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.663729
50,10000000000,0.0970099209020007,1.12052216268409,10.3162416916592,0.0447834366838531,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.093285
51,10000000000,0.951185883072898,0.446196099115825,6.7210724544241,0.122603855555426,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.379142
52,10000000000,0.354155378074812,0.233078038964539,3.39156961894679,0.666941490597558,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.003058
53,10000000000,0.0283447438493188,0.63029034783338,13.7417260969105,0.0731698792106264,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.378338
54,10000000000,0.0838409291722722,128.710051313187,7.81172183682001,6.00388166076348,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.643025
55,10000000000,1.04498248299743,0.162526064843329,8.67803422107543,1.88874894571644,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.007651
56,10000000000,0.976959878211695,1.88781761248565,1.23496489640429,46.3585837262113,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.271986
57,10000000000,0.0921330622436996,3.65238474711456,5.04292276988304,0.791590469565442,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.893798
58,10000000000,2.80308412205499,0.144458907508984,4.82650738349114,0.268006047872296,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.466734
59,10000000000,0.0323609089576605,0.786432525293507,13.2311332619481,0.010014552641752,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.495823
60,10000000000,0.488251351422385,0.802567683107913,6.13590155305931,0.0110851266860131,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.320370
61,10000000000,0.150462729120362,50.9754018711296,5.42946573361613,0.0230496950602343,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.054250
62,10000000000,0.582092050838441,33.7474799171748,8.31197402540936,0.0976133369454016,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.443528
63,10000000000,1.80530500129342,61.3292091523681,14.4615612795186,0.0803539733353992,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.691599
64,10000000000,1.13991738176873,136.263900452493,14.0902470661724,23.972774162209,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.356808
65,10000000000,0.330053343520274,17.2390106545905,14.7089837473324,0.0473351830013829,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.214276
66,10000000000,0.50757464371704,16.2531975263927,7.24577815143454,0.0112383974100823,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.398711
67,10000000000,0.348531409228284,0.13782462527231,4.65441782497266,0.0941566408313905,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.473747
68,10000000000,0.0258109879586768,38.8304315087076,9.82539313607438,0.0210726102986189,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.335759
69,10000000000,0.0865756440810266,0.162075925426124,11.2722025607883,0.0306023986899048,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.411294
70,10000000000,0.0513212256786391,41.1939715570829,10.7318953713581,12.0965257746164,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.841030
71,10000000000,1.08260723333354,0.110355220231975,1.63608338649656,6.6489074212014,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.363736
72,10000000000,0.919590381067214,0.533844524329355,2.99386765751158,1.86259135396499,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.069389
73,10000000000,10.0784998104605,0.732715031595096,6.87999066116644,0.158552720858347,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.915563
74,10000000000,8.74094825733795,0.845888972082015,1.72820932889146,0.105889230437561,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:02:07.088825
75,10000000000,0.389596848458971,12.3361707799877,5.91800393587214,0.217694971716102,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.494408
76,10000000000,0.0102730456638326,59.7665578176512,2.75239691781221,0.144622890730596,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.531122
77,10000000000,3.64477778590858,0.521088458087643,3.70787238600369,0.107333495733367,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.407955
78,10000000000,0.0158932091992145,0.165304900108299,0.909606954542526,5.09509547279107,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.356513
79,10000000000,0.449508916439189,0.137920881135578,5.38310798462055,1.23621291972598,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.790407
80,10000000000,1.11246982479301,8.25456791772725,11.8303747433261,0.0611321476930036,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.265457
81,10000000000,2.86066396319738,20.1571733331558,14.9015196072226,0.0243890514397246,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.121215
82,10000000000,0.073679851052071,21.4966661258505,12.26706490368,62.7146008983265,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.385532
83,10000000000,0.0115831263380395,48.9288909518505,12.462494943748,32.6096543624787,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.506708
84,10000000000,2.59651837463131,0.755438378143547,1.47520743617515,0.010797598660618,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.279784
85,10000000000,0.0219207185039951,51.5387465763966,8.13860132308265,47.204219951421,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.264324
86,10000000000,0.0787716814551803,11.524973209128,10.0618646464636,0.22586223406454,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.028134
87,10000000000,0.357236048593484,138.758872821864,0.330531593461318,0.0315609960811683,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.795604
88,10000000000,0.0182521216132577,93.1682706456748,11.3637881578508,17.8738613071328,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.740123
